                  epoch,         train/pos_loss,        train/conf_loss,         train/iou_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,          val/conf_loss,           val/iou_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8815,                  14717,                 138.35,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033305,              0.0033305,              0.0033305
                      1,                 2.9983,                 778.74,                    138,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066309,              0.0066309,              0.0066309
                      2,                 3.4042,                 490.39,                 134.58,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098982,              0.0098982,              0.0098982
                      3,                 3.3012,                  355.3,                  125.1,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.9543,                 271.76,                 114.41,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.7291,                 221.99,                 105.58,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 2.5865,                 186.54,                 98.872,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.4936,                 161.07,                 93.926,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 2.4258,                 139.28,                 89.766,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                  2.365,                  123.8,                 86.875,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                 2.3273,                 109.65,                 84.001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.2883,                 97.547,                 81.673,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009505,               0.009505,               0.009505
                     12,                 2.2527,                 87.935,                 79.569,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.2275,                 80.796,                 77.739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                     14,                 2.2075,                 74.024,                 76.067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0093565,              0.0093565,              0.0093565
                     15,                  2.184,                 68.826,                 74.497,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009307,               0.009307,               0.009307
                     16,                 2.1602,                 64.957,                 73.227,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0092575,              0.0092575,              0.0092575
                     17,                 2.1387,                 61.128,                 71.861,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                     18,                 2.1227,                 57.813,                 70.607,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0091585,              0.0091585,              0.0091585
