                  epoch,         train/pos_loss,         train/mov_loss,        train/conf_loss,         train/hit_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,           val/mov_loss,          val/conf_loss,           val/hit_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1354.4,                  27022,                  66263,                  23632,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033305,              0.0033305,              0.0033305
                      1,                  780.3,                 480.66,                 7146.9,                 552.06,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066309,              0.0066309,              0.0066309
                      2,                 570.03,                 515.25,                 4935.2,                 57.874,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098982,              0.0098982,              0.0098982
                      3,                 375.06,                 364.66,                 3488.3,                 11.586,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      4,                 314.52,                  304.8,                 2651.4,                 3.8635,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                  285.3,                 308.43,                 2030.5,                 1.9982,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 255.99,                 273.72,                 1662.1,                 1.2997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 235.23,                 251.44,                 1441.2,                0.92016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 216.08,                 235.24,                 1277.5,                0.74544,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 201.29,                 228.75,                 1171.5,                0.61996,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                  176.3,                 219.95,                 1004.1,                0.54553,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 154.79,                 212.99,                 883.65,                0.48074,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009505,               0.009505,               0.009505
                     12,                 139.46,                 207.95,                 761.29,                0.43146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                 130.51,                 193.41,                 779.35,                0.38935,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                     14,                 119.66,                 194.71,                 674.67,                0.35688,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0093565,              0.0093565,              0.0093565
                     15,                 112.79,                 183.64,                 672.54,                  0.322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009307,               0.009307,               0.009307
                     16,                 105.63,                 185.13,                  581.2,                0.29886,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0092575,              0.0092575,              0.0092575
                     17,                 101.71,                 170.06,                 561.21,                0.28281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                     18,                 96.088,                 171.97,                  529.8,                0.26646,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0091585,              0.0091585,              0.0091585
                     19,                 91.618,                 168.17,                 462.47,                0.24739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009109,               0.009109,               0.009109
                     20,                 88.507,                 162.28,                 485.66,                0.23525,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0090595,              0.0090595,              0.0090595
                     21,                 84.537,                 156.97,                 426.91,                0.22127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                     22,                 81.318,                 147.96,                 464.65,                0.21039,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0089605,              0.0089605,              0.0089605
                     23,                 80.059,                 148.34,                 421.68,                0.19931,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008911,               0.008911,               0.008911
                     24,                 77.174,                 146.66,                 397.29,                0.19429,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0088615,              0.0088615,              0.0088615
                     25,                 74.479,                 140.61,                 381.76,                 0.1851,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                     26,                 71.491,                 138.63,                  352.1,                0.17833,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0087625,              0.0087625,              0.0087625
                     27,                 69.616,                 138.49,                 350.49,                0.17384,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008713,               0.008713,               0.008713
                     28,                 66.523,                 135.92,                 331.64,                0.16865,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0086635,              0.0086635,              0.0086635
                     29,                  68.19,                 131.98,                 362.15,                0.16666,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                     30,                 65.942,                 132.01,                 340.99,                0.16251,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0085645,              0.0085645,              0.0085645
                     31,                 63.937,                 126.33,                 316.73,                0.16174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008515,               0.008515,               0.008515
                     32,                 62.369,                 125.89,                  323.9,                0.15674,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0084655,              0.0084655,              0.0084655
                     33,                 60.842,                 124.43,                    307,                  0.156,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     34,                 60.011,                 125.06,                 285.71,                0.15158,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0083665,              0.0083665,              0.0083665
                     35,                 58.957,                 122.96,                 284.35,                0.14709,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008317,               0.008317,               0.008317
                     36,                  58.94,                 122.46,                  288.1,                0.14674,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082675,              0.0082675,              0.0082675
                     37,                 56.172,                 118.17,                 278.12,                0.14263,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     38,                 56.683,                 116.26,                 270.19,                0.14007,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                 54.399,                  113.3,                 258.05,                0.14075,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008119,               0.008119,               0.008119
                     40,                 55.574,                 119.12,                 277.14,                0.13917,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0080695,              0.0080695,              0.0080695
