Frame,Visibility,X,Y,Z,Event,Shot,player_X,player_Y,Fast
0,1,648,359,0,0,0,0,0,0
1,1,647,358,0,0,0,0,0,0
2,1,647,358,0,0,0,0,0,0
3,1,647,358,0,0,0,0,0,0
4,1,648,358,0,0,0,0,0,0
5,1,649,357,0,0,0,0,0,0
6,1,651,354,0,0,0,0,0,0
7,1,654,353,0,0,0,0,0,0
8,1,652,352,0,0,0,0,0,0
9,1,656,352,0,0,0,0,0,0
10,1,658,350,0,0,0,0,0,0
11,1,658,348,0,0,0,0,0,0
12,1,661,347,0,0,0,0,0,0
13,1,662,345,0,0,0,0,0,0
14,1,662,345,0,0,0,0,0,0
15,1,666,341,0,0,0,0,0,0
16,1,666,341,0,0,0,0,0,0
17,1,675,332,0,0,0,0,0,0
18,1,677,317,0,1,0,0,0,0
19,1,688,304,0,0,0,0,0,0
20,1,689,305,0,0,0,0,0,0
21,1,692,299,0,0,0,0,0,0
22,1,698,299,0,0,0,0,0,0
23,1,703,297,0,0,0,0,0,0
24,1,709,296,0,0,0,0,0,0
25,1,714,296,0,0,0,0,0,0
26,1,713,300,0,0,0,0,0,0
27,1,718,300,0,0,0,0,0,0
28,1,722,304,0,0,0,0,0,0
29,1,726,309,0,0,0,0,0,0
30,1,729,313,0,0,0,0,0,0
31,1,732,322,0,0,0,0,0,0
32,1,732,321,0,0,0,0,0,0
33,1,734,328,0,0,0,0,0,0
34,1,738,340,0,0,0,0,0,0
35,1,742,351,0,0,0,0,0,0
36,1,746,366,0,0,0,0,0,0
37,1,746,376,0,0,0,0,0,0
38,1,748,376,0,0,0,0,0,0
39,1,747,387,0,0,0,0,0,0
40,1,715,272,0,2,0,0,0,0
41,1,692,224,0,0,0,0,0,0
42,1,670,168,0,0,0,0,0,0
43,1,658,135,0,0,0,0,0,0
44,1,656,136,0,0,0,0,0,0
45,1,640,98,0,0,0,0,0,0
46,1,629,72,0,0,0,0,0,0
47,1,620,49,0,0,0,0,0,0
48,1,608,28,0,0,0,0,0,0
49,1,602,13,0,0,0,0,0,0
50,1,600,13,0,0,0,0,0,0
51,1,594,2,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0
70,1,522,7,0,0,0,0,0,0
71,1,519,17,0,0,0,0,0,0
72,1,518,27,0,0,0,0,0,0
73,1,518,40,0,0,0,0,0,0
74,1,517,39,0,0,0,0,0,0
75,1,514,52,0,0,0,0,0,0
76,1,512,66,0,0,0,0,0,0
77,1,512,80,0,0,0,0,0,0
78,1,512,94,0,0,0,0,0,0
79,1,509,111,0,0,0,0,0,0
80,1,510,111,0,0,0,0,0,0
81,1,509,125,0,0,0,0,0,0
82,1,507,145,0,0,0,0,0,0
83,1,508,156,0,0,0,0,0,0
84,1,503,138,0,1,0,0,0,0
85,1,501,119,0,0,0,0,0,0
86,1,501,118,0,0,0,0,0,0
87,1,498,108,0,0,0,0,0,0
88,1,494,94,0,0,0,0,0,0
89,1,494,88,0,0,0,0,0,0
90,1,488,84,0,0,0,0,0,0
91,1,488,82,0,0,0,0,0,0
92,1,488,81,0,0,0,0,0,0
93,1,484,76,0,0,0,0,0,0
94,1,483,79,0,0,0,0,0,0
95,1,482,80,0,0,0,0,0,0
96,1,480,82,0,0,0,0,0,0
